old_age_care,unemployed,reduce_income_diff,jobs,female,age,education,employment,country,survey_year
0,0,0,0,1,57,Secondary,Not active,Australia,1996
0,0,0,0,1,44,Secondary,Not active,Australia,1996
0,0,0,0,1,59,Primary or less,Not active,Australia,1996
0,0,0,0,1,89,Primary or less,Not active,Australia,1996
0,0,0,0,0,31,Secondary,Not active,Australia,1996
0,0,0,0,0,79,Secondary,Not active,Australia,1996
0,0,0,0,0,72,Secondary,Not active,Australia,1996
0,0,0,0,1,73,Secondary,Not active,Australia,1996
0,0,0,0,0,75,Secondary,Not active,Australia,1996
0,0,0,0,0,70,Secondary,Not active,Australia,1996
0,0,0,0,0,54,Secondary,Not active,Australia,1996
0,0,0,0,1,59,Secondary,Not active,Australia,1996
0,0,0,0,1,64,Secondary,Not active,Australia,1996
0,0,0,0,1,42,University or more,Not active,Australia,1996
0,0,0,0,0,55,University or more,Not active,Australia,1996
0,0,0,0,0,69,University or more,Not active,Australia,1996
0,0,0,0,1,59,Secondary,Not active,Australia,1996
0,0,0,0,1,39,Secondary,Not active,Australia,1996
0,0,0,0,0,55,Secondary,Not active,Australia,1996
0,0,0,0,0,61,Secondary,Not active,Australia,1996
0,0,0,0,0,47,Secondary,Active unemployed,Australia,1996
0,0,0,0,0,42,Secondary,Not active,Australia,1996
0,0,0,0,0,77,Secondary,Not active,Australia,1996
0,0,0,0,0,66,Secondary,Not active,Australia,1996
0,0,0,0,0,26,Secondary,Not active,Australia,1996
0,0,0,0,1,73,Primary or less,Not active,Australia,1996
0,0,0,0,NA,72,Secondary,Not active,Australia,1996
0,0,0,0,1,53,Secondary,Not active,Australia,1996
0,0,0,0,1,66,Secondary,Not active,Australia,1996
0,0,0,0,1,65,Secondary,Not active,Australia,1996
0,0,0,0,0,40,Secondary,Not active,Australia,1996
0,0,0,0,1,73,Primary or less,Not active,Australia,1996
0,0,0,0,0,66,Secondary,Not active,Australia,1996
0,0,0,0,1,38,Secondary,Not active,Australia,1996
0,0,0,0,1,56,Secondary,Not active,Australia,1996
0,0,0,0,1,57,Secondary,Not active,Australia,1996
0,0,0,0,1,34,Secondary,Not active,Australia,1996
0,0,0,0,0,53,Secondary,Not active,Australia,1996
0,0,0,0,0,68,Secondary,Not active,Australia,1996
0,0,0,0,1,34,Secondary,Not active,Australia,1996
0,0,0,0,1,46,Secondary,Not active,Australia,1996
0,0,0,0,0,72,Secondary,Not active,Australia,1996
0,0,0,0,0,65,Secondary,Not active,Australia,1996
0,0,0,0,0,62,Secondary,Not active,Australia,1996
0,0,0,0,1,82,Secondary,Not active,Australia,1996
0,0,0,0,0,51,Secondary,Not active,Australia,1996
0,0,0,0,0,66,Secondary,Not active,Australia,1996
0,0,0,0,0,48,Secondary,Not active,Australia,1996
0,0,0,0,1,37,Secondary,Not active,Australia,1996
0,0,0,0,1,58,Secondary,Not active,Australia,1996
0,0,0,0,0,38,Secondary,Not active,Australia,1996
0,0,0,0,0,32,Secondary,Not active,Australia,1996
0,0,0,0,1,40,Secondary,Not active,Australia,1996
0,0,0,0,1,71,Secondary,Not active,Australia,1996
0,0,0,0,0,60,Secondary,Not active,Australia,1996
0,0,0,0,1,68,Primary or less,Not active,Australia,1996
0,0,0,0,0,41,Secondary,Not active,Australia,1996
0,0,0,0,0,73,Secondary,Not active,Australia,1996
0,0,0,0,0,49,Secondary,Not active,Australia,1996
0,0,0,0,1,55,Secondary,Not active,Australia,1996
0,0,0,0,1,44,University or more,Not active,Australia,1996
0,0,0,0,1,41,Secondary,Not active,Australia,1996
0,0,0,0,1,39,Secondary,Not active,Australia,1996
0,0,0,0,0,63,University or more,Not active,Australia,1996
0,0,0,0,1,65,University or more,Not active,Australia,1996
0,0,0,0,1,34,University or more,Not active,Australia,1996
0,0,0,0,1,41,University or more,Not active,Australia,1996
0,0,0,0,0,61,Secondary,Not active,Australia,1996
0,0,0,0,1,69,Secondary,Not active,Australia,1996
0,0,0,0,NA,68,Secondary,Not active,Australia,1996
0,0,0,0,0,69,Secondary,Not active,Australia,1996
0,0,0,0,1,25,Secondary,Not active,Australia,1996
0,0,0,0,1,72,Secondary,Not active,Australia,1996
0,0,0,0,0,63,Secondary,Not active,Australia,1996
0,0,0,0,1,73,Secondary,Not active,Australia,1996
0,0,0,0,1,39,University or more,Not active,Australia,1996
0,0,0,0,1,56,Secondary,Not active,Australia,1996
0,0,0,0,0,54,Secondary,Not active,Australia,1996
0,0,0,0,0,38,Secondary,Not active,Australia,1996
0,0,0,0,1,36,Secondary,Not active,Australia,1996
0,0,0,0,1,51,Secondary,Not active,Australia,1996
0,0,0,0,0,52,Secondary,Not active,Australia,1996
0,0,0,0,1,58,Secondary,Not active,Australia,1996
0,0,0,0,0,50,Secondary,Not active,Australia,1996
0,0,0,0,0,50,Secondary,Not active,Australia,1996
0,0,0,0,0,30,University or more,Not active,Australia,1996
0,0,0,0,1,50,Secondary,Not active,Australia,1996
0,0,0,0,0,42,University or more,Not active,Australia,1996
0,0,0,0,1,50,Secondary,Not active,Australia,1996
0,0,0,0,0,49,Secondary,Not active,Australia,1996
0,0,0,0,0,64,Secondary,Not active,Australia,1996
0,0,0,0,1,70,Secondary,Not active,Australia,1996
0,0,0,0,0,76,University or more,Not active,Australia,1996
0,0,0,0,1,53,Secondary,Not active,Australia,1996
0,0,0,0,0,37,Secondary,Not active,Australia,1996
0,0,0,0,0,47,University or more,Not active,Australia,1996
0,0,0,0,1,29,Secondary,Not active,Australia,1996
0,0,0,0,0,66,Secondary,Not active,Australia,1996
0,0,0,0,0,76,Primary or less,Not active,Australia,1996
0,0,0,0,1,57,Secondary,Not active,Australia,1996
0,0,0,0,1,80,Secondary,Not active,Australia,1996
0,0,0,0,0,53,Secondary,Not active,Australia,1996
0,0,0,0,1,47,Secondary,Not active,Australia,1996
0,0,0,0,1,49,Secondary,Not active,Australia,1996
0,0,0,0,0,71,Primary or less,Not active,Australia,1996
0,0,0,0,1,77,Secondary,Not active,Australia,1996
0,0,0,0,1,62,Secondary,Not active,Australia,1996
0,0,0,0,0,75,Secondary,Not active,Australia,1996
0,0,0,0,0,45,Secondary,Not active,Australia,1996
0,0,0,0,1,42,Secondary,Not active,Australia,1996
0,0,0,0,0,87,Primary or less,Not active,Australia,1996
0,0,0,0,1,57,Secondary,Not active,Australia,1996
0,0,0,0,1,75,Secondary,Not active,Australia,1996
0,0,0,0,0,47,Secondary,Not active,Australia,1996
0,0,0,0,1,63,Secondary,Not active,Australia,1996
0,0,0,0,1,61,Secondary,Not active,Australia,1996
0,0,0,0,0,74,Secondary,Not active,Australia,1996
0,0,0,0,0,49,Secondary,Not active,Australia,1996
0,0,0,0,1,49,Secondary,Not active,Australia,1996
0,0,0,0,0,32,University or more,Not active,Australia,1996
0,0,0,0,0,67,Secondary,Not active,Australia,1996
0,0,0,0,1,67,Secondary,Not active,Australia,1996
0,0,0,0,1,38,Secondary,Not active,Australia,1996
0,0,0,0,1,34,Secondary,Not active,Australia,1996
0,0,0,0,1,50,Secondary,Not active,Australia,1996
0,0,0,0,1,72,Secondary,Not active,Australia,1996
0,0,0,0,0,77,Secondary,Not active,Australia,1996
0,0,0,0,1,71,Secondary,Not active,Australia,1996
0,0,0,0,1,49,University or more,Not active,Australia,1996
0,0,0,0,1,53,Secondary,Not active,Australia,1996
0,0,0,0,1,78,Primary or less,Not active,Australia,1996
0,0,0,0,1,80,Secondary,Not active,Australia,1996
0,0,0,0,1,61,Primary or less,Not active,Australia,1996
0,0,0,0,1,76,Secondary,Not active,Australia,1996
0,0,0,0,1,70,Secondary,Not active,Australia,1996
0,0,0,0,1,78,Secondary,Not active,Australia,1996
0,0,0,0,1,53,Secondary,Not active,Australia,1996
0,0,0,0,1,77,Secondary,Not active,Australia,1996
0,0,0,0,0,68,Secondary,Not active,Australia,1996
0,0,0,0,0,80,Secondary,Not active,Australia,1996
0,0,0,0,0,45,Secondary,Not active,Australia,1996
0,0,0,0,1,37,Secondary,Not active,Australia,1996
0,0,0,0,0,34,University or more,Not active,Australia,1996
0,0,0,0,1,52,Secondary,Not active,Australia,1996
0,0,0,0,1,64,Secondary,Not active,Australia,1996
0,0,0,0,0,40,Secondary,Not active,Australia,1996
0,0,0,0,0,66,Secondary,Not active,Australia,1996
0,0,0,0,1,65,Secondary,Not active,Australia,1996
0,0,0,0,1,51,Secondary,Not active,Australia,1996
0,0,0,0,1,60,Secondary,Not active,Australia,1996
0,0,0,0,0,66,Secondary,Not active,Australia,1996
0,0,0,0,1,46,University or more,Not active,Australia,1996
0,0,0,0,1,49,Secondary,Not active,Australia,1996
0,0,0,0,1,57,Secondary,Not active,Australia,1996
0,0,0,0,0,71,Secondary,Not active,Australia,1996
0,0,0,0,0,42,Secondary,Not active,Australia,1996
0,0,0,0,0,67,Secondary,Not active,Australia,1996
0,0,0,0,NA,NA,Secondary,Not active,Australia,1996
0,0,0,0,0,76,Secondary,Not active,Australia,1996
0,0,0,0,1,54,Secondary,Not active,Australia,1996
0,0,0,0,1,71,Secondary,Not active,Australia,1996
0,0,0,0,1,34,Secondary,Not active,Australia,1996
0,0,0,0,0,50,Secondary,Not active,Australia,1996
0,0,0,0,1,48,University or more,Not active,Australia,1996
0,0,0,0,NA,NA,University or more,Not active,Australia,1996
0,0,0,0,0,73,Secondary,Not active,Australia,1996
0,0,0,0,1,37,Secondary,Not active,Australia,1996
0,0,0,0,1,46,University or more,Not active,Australia,1996
0,0,0,0,1,28,University or more,Not active,Australia,1996
0,0,0,0,1,47,Secondary,Not active,Australia,1996
0,0,0,0,0,47,Secondary,Not active,Australia,1996
0,0,0,0,1,61,Secondary,Not active,Australia,1996
0,0,0,0,0,50,Secondary,Not active,Australia,1996
0,0,0,0,0,72,Primary or less,Not active,Australia,1996
0,0,0,0,0,35,Secondary,Not active,Australia,1996
0,0,0,0,0,50,Secondary,Not active,Australia,1996
0,0,0,0,0,51,Secondary,Not active,Australia,1996
0,0,0,0,1,31,Secondary,Not active,Australia,1996
0,0,0,0,1,36,University or more,Active unemployed,Australia,1996
0,0,0,0,0,50,University or more,Not active,Australia,1996
0,0,0,0,0,55,Secondary,Not active,Australia,1996
0,0,0,0,1,43,University or more,Not active,Australia,1996
0,0,0,0,0,50,Secondary,Not active,Australia,1996
0,0,0,0,1,50,Secondary,Not active,Australia,1996
0,0,0,0,NA,NA,Secondary,Not active,Australia,1996
0,0,0,0,0,55,Primary or less,Not active,Australia,1996
0,0,0,0,1,37,Secondary,Not active,Australia,1996
0,0,0,0,1,72,Secondary,Not active,Australia,1996
0,0,0,0,0,29,Secondary,Not active,Australia,1996
0,0,0,0,0,68,Secondary,Not active,Australia,1996
0,0,0,0,0,62,Secondary,Not active,Australia,1996
0,0,0,0,0,47,Primary or less,Not active,Australia,1996
0,0,0,0,0,71,Primary or less,Not active,Australia,1996
0,0,0,0,1,44,Secondary,Not active,Australia,1996
0,0,0,0,1,NA,Secondary,Active unemployed,Australia,1996
0,0,0,0,1,50,Secondary,Not active,Australia,1996
0,0,0,0,0,27,Secondary,Not active,Australia,1996
0,0,0,0,1,61,Secondary,Not active,Australia,1996
0,0,0,0,1,67,Secondary,Not active,Australia,1996
0,0,0,0,1,40,Secondary,Not active,Australia,1996
0,0,0,0,0,71,Secondary,Not active,Australia,1996
0,0,0,0,0,59,Secondary,Active unemployed,Australia,1996
0,0,0,0,1,46,University or more,Not active,Australia,1996
0,0,0,0,1,44,Secondary,Not active,Australia,1996
0,0,0,0,0,79,Secondary,Not active,Australia,1996
0,0,0,0,1,64,Secondary,Not active,Australia,1996
0,0,0,0,0,79,Secondary,Not active,Australia,1996
0,0,0,0,1,69,Primary or less,Not active,Australia,1996
0,0,0,0,0,53,Secondary,Not active,Australia,1996
0,0,0,0,0,47,University or more,Not active,Australia,1996
0,0,0,0,0,69,Secondary,Not active,Australia,1996
0,0,0,0,1,45,Secondary,Not active,Australia,1996
0,0,0,0,1,49,Secondary,Not active,Australia,1996
0,0,0,0,0,48,Secondary,Not active,Australia,1996
0,0,0,0,0,61,Secondary,Not active,Australia,1996
0,0,0,0,1,49,Secondary,Not active,Australia,1996
0,0,0,0,1,52,Secondary,Not active,Australia,1996
0,0,0,0,1,43,University or more,Not active,Australia,1996
0,0,0,0,0,75,Secondary,Not active,Australia,1996
0,0,0,0,1,41,Primary or less,Not active,Australia,1996
0,0,0,0,1,51,Secondary,Active unemployed,Australia,1996
0,0,0,0,1,28,Secondary,Not active,Australia,1996
0,0,0,0,0,60,Secondary,Active unemployed,Australia,1996
0,0,0,0,0,38,Secondary,Not active,Australia,1996
0,0,0,0,1,82,Secondary,Not active,Australia,1996
0,0,0,0,0,78,Primary or less,Not active,Australia,1996
0,0,0,0,0,32,Secondary,Not active,Australia,1996
0,0,0,0,0,67,Secondary,Not active,Australia,1996
0,0,0,0,1,38,University or more,Not active,Australia,1996
0,0,0,0,0,32,Secondary,Not active,Australia,1996
0,0,0,0,0,60,Secondary,Not active,Australia,1996
0,0,0,0,1,38,Secondary,Not active,Australia,1996
0,0,0,0,1,40,Secondary,Not active,Australia,1996
0,0,0,0,1,49,Secondary,Not active,Australia,1996
0,0,0,0,0,57,Secondary,Not active,Australia,1996
0,0,0,0,0,49,Secondary,Not active,Australia,1996
0,0,0,0,0,63,Secondary,Not active,Australia,1996
0,0,0,0,NA,NA,Secondary,Not active,Australia,1996
0,0,0,0,1,52,Secondary,Not active,Australia,1996
0,0,0,0,0,48,Secondary,Not active,Australia,1996
0,0,0,0,1,68,Secondary,Not active,Australia,1996
0,0,0,0,1,72,Secondary,Not active,Australia,1996
0,0,0,0,0,27,Secondary,Not active,Australia,1996
0,0,0,0,0,56,Secondary,Not active,Australia,1996
0,0,0,0,1,51,University or more,Not active,Australia,1996
0,0,0,0,0,62,Primary or less,Not active,Australia,1996
0,0,0,0,0,64,Secondary,Not active,Australia,1996
0,0,0,0,0,44,Secondary,Not active,Australia,1996
0,0,0,0,0,60,Secondary,Not active,Australia,1996
0,0,0,0,0,35,Secondary,Not active,Australia,1996
0,0,0,0,1,67,Secondary,Not active,Australia,1996
0,0,0,0,1,75,University or more,Not active,Australia,1996
0,0,0,0,0,48,University or more,Not active,Australia,1996
0,0,0,0,1,57,Secondary,Not active,Australia,1996
0,0,0,0,1,44,University or more,Not active,Australia,1996
0,0,0,0,1,58,Primary or less,Not active,Australia,1996
0,0,0,0,0,30,Secondary,Not active,Australia,1996
0,0,0,0,0,57,Secondary,Not active,Australia,1996
0,0,0,0,1,44,University or more,Not active,Australia,1996
0,0,0,0,0,81,Primary or less,Not active,Australia,1996
0,0,0,0,1,66,Secondary,Not active,Australia,1996
0,0,0,0,1,60,Secondary,Not active,Australia,1996
0,0,0,0,1,48,Primary or less,Not active,Australia,1996
0,0,0,0,1,63,Secondary,Not active,Australia,1996
0,0,0,0,1,63,University or more,Not active,Australia,1996
0,0,0,0,0,67,Secondary,Not active,Australia,1996
0,0,0,0,1,40,Secondary,Not active,Australia,1996
0,0,0,0,0,57,Secondary,Not active,Australia,1996
0,0,0,0,0,74,Secondary,Not active,Australia,1996
0,0,0,0,0,62,Secondary,Not active,Australia,1996
0,0,0,0,1,27,Secondary,Not active,Australia,1996
0,0,0,0,0,22,Secondary,Active unemployed,Australia,1996
0,0,0,0,1,58,Secondary,Not active,Australia,1996
0,0,0,0,1,31,University or more,Not active,Australia,1996
0,0,0,0,0,88,Secondary,Not active,Australia,1996
0,0,0,0,0,57,Secondary,Not active,Australia,1996
0,0,0,0,1,67,Secondary,Not active,Australia,1996
0,0,0,0,0,77,Secondary,Not active,Australia,1996
0,0,0,0,NA,NA,Secondary,Not active,Australia,1996
0,0,0,0,0,51,University or more,Not active,Australia,1996
0,0,0,0,0,46,University or more,Not active,Australia,1996
0,0,0,0,1,48,Secondary,Not active,Australia,1996
0,0,0,0,1,31,University or more,Not active,Australia,1996
0,0,0,0,0,75,Secondary,Not active,Australia,1996
0,0,0,0,1,40,University or more,Not active,Australia,1996
0,0,0,0,0,52,Secondary,Not active,Australia,1996
0,0,0,0,1,79,Secondary,Not active,Australia,1996
0,0,0,0,1,47,University or more,Not active,Australia,1996
0,0,0,0,1,71,Secondary,Not active,Australia,1996
0,0,0,0,1,71,Secondary,Not active,Australia,1996
0,0,0,0,1,38,University or more,Not active,Australia,1996
0,0,0,0,1,66,Secondary,Not active,Australia,1996
0,0,0,0,0,36,Secondary,Not active,Australia,1996
0,0,0,0,1,33,Secondary,Not active,Australia,1996
0,0,0,0,1,49,Secondary,Not active,Australia,1996
0,0,0,0,0,49,Secondary,Not active,Australia,1996
0,0,0,0,0,69,Secondary,Not active,Australia,1996
0,0,0,0,0,51,University or more,Not active,Australia,1996
0,0,0,0,0,80,Secondary,Not active,Australia,1996
0,0,0,0,0,25,Secondary,Not active,Australia,1996
0,0,0,0,1,69,University or more,Not active,Australia,1996
0,0,0,0,0,63,University or more,Not active,Australia,1996
0,0,0,0,1,51,Secondary,Not active,Australia,1996
0,0,0,0,0,51,Secondary,Not active,Australia,1996
0,0,0,0,0,50,Secondary,Not active,Australia,1996
0,0,0,0,0,62,Secondary,Not active,Australia,1996
0,0,0,0,1,65,Secondary,Not active,Australia,1996
0,0,0,0,1,74,Secondary,Not active,Australia,1996
0,0,0,0,0,67,Primary or less,Not active,Australia,1996
0,0,0,0,0,74,University or more,Not active,Australia,1996
0,0,0,0,1,78,Primary or less,Not active,Australia,1996
0,0,0,0,0,72,University or more,Not active,Australia,1996
0,0,0,0,0,46,Secondary,Not active,Australia,1996
0,0,0,0,0,37,University or more,Not active,Australia,1996
0,0,0,0,1,54,Secondary,Not active,Australia,1996
0,0,0,0,1,41,University or more,Not active,Australia,1996
0,0,0,0,0,49,Secondary,Not active,Australia,1996
0,0,0,0,0,60,Secondary,Active unemployed,Australia,1996
0,0,0,0,1,51,Secondary,Not active,Australia,1996
0,0,0,0,1,70,Secondary,Not active,Australia,1996
0,0,0,0,0,57,University or more,Not active,Australia,1996
0,0,0,0,0,72,Secondary,Not active,Australia,1996
0,0,0,0,0,47,University or more,Not active,Australia,1996
0,0,0,0,1,68,Secondary,Not active,Australia,1996
0,0,0,0,0,57,University or more,Not active,Australia,1996
0,0,0,0,1,32,Secondary,Not active,Australia,1996
0,0,0,0,1,70,Primary or less,Not active,Australia,1996
0,0,0,0,1,72,Secondary,Not active,Australia,1996
0,0,0,0,1,53,Secondary,Not active,Australia,1996
0,0,0,0,0,41,Secondary,Not active,Australia,1996
0,0,0,0,1,54,Secondary,Not active,Australia,1996
0,0,0,0,1,45,Secondary,Not active,Australia,1996
0,0,0,0,0,78,Secondary,Not active,Australia,1996
0,0,0,0,0,67,University or more,Not active,Australia,1996
0,0,0,0,1,60,Secondary,Not active,Australia,1996
0,0,0,0,0,46,University or more,Not active,Australia,1996
0,0,0,0,0,52,Primary or less,Not active,Australia,1996
0,0,0,0,0,35,Secondary,Not active,Australia,1996
0,0,0,0,1,62,Secondary,Not active,Australia,1996
0,0,0,0,1,61,Secondary,Not active,Australia,1996
0,0,0,0,0,56,Secondary,Not active,Australia,1996
0,0,0,0,0,39,Secondary,Not active,Australia,1996
0,0,0,0,1,59,Secondary,Not active,Australia,1996
0,0,0,0,1,52,Secondary,Not active,Australia,1996
0,0,0,0,1,39,Secondary,Not active,Australia,1996
0,0,0,0,1,55,Primary or less,Not active,Australia,1996
0,0,0,0,0,42,Secondary,Not active,Australia,1996
0,0,0,0,1,61,Secondary,Not active,Australia,1996
0,0,0,0,0,69,Secondary,Not active,Australia,1996
0,0,0,0,1,42,Secondary,Not active,Australia,1996
0,0,0,0,0,35,University or more,Not active,Australia,1996
0,0,0,0,0,68,Secondary,Not active,Australia,1996
0,0,0,0,0,64,Secondary,Not active,Australia,1996
0,0,0,0,0,42,Secondary,Not active,Australia,1996
0,0,0,0,0,64,Secondary,Not active,Australia,1996
0,0,0,0,0,78,Primary or less,Not active,Australia,1996
0,0,0,0,1,42,University or more,Not active,Australia,1996
0,0,0,0,1,56,Secondary,Not active,Australia,1996
0,0,0,0,1,74,Secondary,Not active,Australia,1996
0,0,0,0,0,70,Secondary,Not active,Australia,1996
0,0,0,0,1,73,Secondary,Not active,Australia,1996
0,0,0,0,1,50,University or more,Not active,Australia,1996
0,0,0,0,1,41,University or more,Not active,Australia,1996
0,0,0,0,1,53,Primary or less,Not active,Australia,1996
0,0,0,0,0,69,Secondary,Not active,Australia,1996
0,0,0,0,1,60,Secondary,Not active,Australia,1996
0,0,0,0,0,64,Secondary,Not active,Australia,1996
0,0,0,0,1,59,Secondary,Not active,Australia,1996
0,0,0,0,1,46,Primary or less,Not active,Australia,1996
0,0,0,0,1,35,Secondary,Not active,Australia,1996
0,0,0,0,0,50,Secondary,Not active,Australia,1996
0,0,0,0,1,53,Secondary,Not active,Australia,1996
0,0,0,0,0,75,Primary or less,Not active,Australia,1996
0,0,0,0,0,60,Primary or less,Not active,Australia,1996
0,0,0,0,1,63,Secondary,Not active,Australia,1996
0,0,0,0,0,37,Secondary,Not active,Australia,1996
0,0,0,0,1,59,Secondary,Not active,Australia,1996
0,0,0,0,0,56,Primary or less,Not active,Australia,1996
0,0,0,0,1,42,Secondary,Not active,Australia,1996
0,0,0,0,1,52,Secondary,Not active,Australia,1996
0,0,0,0,1,37,University or more,Not active,Australia,1996
0,0,0,0,1,55,Secondary,Not active,Australia,1996
0,0,0,0,0,26,Secondary,Not active,Australia,1996
0,0,0,0,0,43,Secondary,Not active,Australia,1996
0,0,0,0,0,57,University or more,Not active,Australia,1996
0,0,0,0,0,66,Secondary,Not active,Australia,1996
0,0,0,0,0,76,Primary or less,Not active,Australia,1996
0,0,0,0,0,28,University or more,Not active,Australia,1996
0,0,0,0,0,68,Secondary,Not active,Australia,1996
0,0,0,0,1,58,Secondary,Not active,Australia,1996
0,0,0,0,0,68,Secondary,Not active,Australia,1996
0,0,0,0,1,25,Secondary,Not active,Australia,1996
0,0,0,0,1,35,Secondary,Not active,Australia,1996
0,0,0,0,0,46,University or more,Not active,Australia,1996
0,0,0,0,1,50,Secondary,Not active,Australia,1996
0,0,0,0,1,54,Secondary,Not active,Australia,1996
0,0,0,0,0,62,Secondary,Not active,Australia,1996
0,0,0,0,1,38,Secondary,Not active,Australia,1996
0,0,0,0,0,77,Secondary,Not active,Australia,1996
0,0,0,0,1,48,University or more,Not active,Australia,1996
0,0,0,0,0,53,Secondary,Not active,Australia,1996
0,0,0,0,0,49,University or more,Not active,Australia,1996
0,0,0,0,1,31,Secondary,Not active,Australia,1996
0,0,0,0,1,66,Primary or less,Not active,Australia,1996
0,0,0,0,1,36,Secondary,Not active,Australia,1996
0,0,0,0,1,47,Secondary,Not active,Australia,1996
0,0,0,0,1,66,Secondary,Not active,Australia,1996
0,0,0,0,1,51,Secondary,Not active,Australia,1996
0,0,0,0,0,47,Secondary,Not active,Australia,1996
0,0,0,0,0,67,Secondary,Not active,Australia,1996
0,0,0,0,1,59,Secondary,Not active,Australia,1996
0,0,0,0,1,48,Secondary,Not active,Australia,1996
0,0,0,0,1,65,Secondary,Not active,Australia,1996
0,0,0,0,1,29,Secondary,Not active,Australia,1996
0,0,0,0,0,49,Secondary,Not active,Australia,1996
0,0,0,0,0,68,Primary or less,Not active,Australia,1996
0,0,0,0,0,45,Primary or less,Not active,Australia,1996
0,0,0,0,0,76,Secondary,Not active,Australia,1996
0,0,0,0,1,64,Secondary,Not active,Australia,1996
0,0,0,0,0,52,University or more,Not active,Australia,1996
0,0,0,0,1,61,Secondary,Not active,Australia,1996
0,0,0,0,1,33,Secondary,Not active,Australia,1996
0,0,0,0,0,40,University or more,Not active,Australia,1996
0,0,0,0,1,67,Secondary,Not active,Australia,1996
0,0,0,0,0,58,Primary or less,Not active,Australia,1996
0,0,0,0,0,67,University or more,Not active,Australia,1996
0,0,0,0,1,37,Secondary,Not active,Australia,1996
0,0,0,0,0,55,Secondary,Not active,Australia,1996
0,0,0,0,0,31,Secondary,Not active,Australia,1996
0,0,0,0,0,59,Primary or less,Not active,Australia,1996
0,0,0,0,1,55,Primary or less,Not active,Australia,1996
0,0,0,0,0,42,Secondary,Not active,Australia,1996
0,0,0,0,0,45,University or more,Not active,Australia,1996
0,0,0,0,0,56,Secondary,Active unemployed,Australia,1996
0,0,0,0,1,39,Secondary,Not active,Australia,1996
0,0,0,0,1,42,Secondary,Not active,Australia,1996
0,0,0,0,0,47,Secondary,Not active,Australia,1996
0,0,0,0,0,47,Secondary,Not active,Australia,1996
0,0,0,0,1,50,University or more,Not active,Australia,1996
0,0,0,0,1,56,Secondary,Not active,Australia,1996
0,0,0,0,0,51,Secondary,Not active,Australia,1996
0,0,0,0,0,76,Secondary,Not active,Australia,1996
0,0,0,0,1,69,Secondary,Not active,Australia,1996
0,0,0,0,0,35,Secondary,Active unemployed,Australia,1996
0,0,0,0,0,54,Secondary,Not active,Australia,1996
0,0,0,0,0,46,Secondary,Not active,Australia,1996
